"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1759071_s_at","pdeF","946968","cyclic di-GMP phosphodiesterase PdeF",0.403032608706466,10.3110500513007,2.08411297087819,0.0744767806614361,0.2916017537704,-5.15069093891897
"2","1759074_at","yfbN","946748","uncharacterized protein YfbN",0.343601525415632,9.98603920336441,1.34509781291552,0.219373845434714,0.433885249766114,-6.15692825239695
"3","1759089_s_at","frc","946842","formyl-CoA transferase",0.293571890933592,10.1074891278871,2.25937694430458,0.0573158009500147,0.271446433411986,-4.89183559663759
"4","1759091_at","speF","945297","ornithine decarboxylase, degradative",0.406078569252216,10.390791897579,2.34207828750521,0.0506589788918803,0.258760247979244,-4.76844617777761
"5","1759095_s_at","nanS","948835","N-acetyl-9-O-acetylneuraminate esterase",0.0980845796817906,10.4098875200461,0.672823114377958,0.522038715675463,0.675348770560743,-6.82056995485376
"6","1759100_s_at","yahB","945278","putative LysR-type DNA-binding transcriptional regulator YahB",1.00293437813383,9.5616571146324,2.6379933099089,0.0326527848600324,0.245410807710454,-4.32358829036153
"7","1759102_s_at","rnc","947033","RNase III",0.279285741949323,11.1686745446682,2.32088335238489,0.0522865466578318,0.261080236216271,-4.80012777713316
"8","1759109_s_at","yeiP","946674","elongation factor P family protein",0.0537757975816398,10.8292712028778,0.443742826914367,0.67024407358504,0.787123971913746,-6.95890423794632
"9","1759113_s_at","ftsK","945102","cell division DNA translocase FtsK",0.114950712519271,11.2844501916197,0.842116852935046,0.426777066098724,0.608225505009179,-6.68646002206428
"10","1759127_s_at","yghA","947478","NADP(+)-dependent aldehyde reductase",-0.0209892658617239,10.5470565379934,-0.190064463757259,0.854500829279224,0.912350756222676,-7.04834600469363
"11","1759133_s_at","ycjW","945875","putative LacI-type DNA-binding transcriptional regulator YcjW",0.412692256579135,10.02786069383,2.25216485547341,0.0579366625707931,0.272658644353664,-4.90256423464992
